1,9,1073741849,Chuyện Ngày Xưa Đó,Tình Như Lá Bay Xa,http://10.30.65.100:8087/47ea604d69098057d918/4536577425866549562,http://lorempixel.com/400/200/nightlife/1
9,24,1073741851,Rock Xuyên Màn Đêm,Tâm Hồn Của Đá,http://10.30.65.100:8087/2cfe444a4d0ea450fd1f/6049322375181254497,http://lorempixel.com/400/200/nightlife/2
1,9,1073741852,Con Rồng Cháu Tiên,Tình Như Lá Bay Xa,http://10.30.65.100:8087/5c837a2473609a3ec371/3584186350113102681,http://lorempixel.com/400/200/nightlife/3
9,24,1073741854,Tâm Hồn Của Đá,Tâm Hồn Của Đá,http://10.30.65.100:8087/8ee7e453ed1704495d06/7025915265927189744,http://lorempixel.com/400/200/nightlife/4
9,24,1073741855,Ngày Hôm Qua,Tâm Hồn Của Đá,http://10.30.65.100:8087/18d575617c25957bcc34/3774021440238285022,http://lorempixel.com/400/200/nightlife/5
9,24,1073741856,Chim Hót Trời Xanh,Tâm Hồn Của Đá,http://10.30.65.100:8087/b875d4c1dd8534db6d94/1216620786687445835,http://lorempixel.com/400/200/nightlife/6
9,24,1073741857,Giọt Đắng,Tâm Hồn Của Đá,http://10.30.65.100:8087/894ee6faefbe06e05faf/5676601930887796633,http://lorempixel.com/400/200/nightlife/7
9,24,1073741858,Cơn Mưa Hoang Dã,Tâm Hồn Của Đá,http://10.30.65.100:8087/6b5405e00ca4e5fabcb5/3794027260403295753,http://lorempixel.com/400/200/nightlife/8
9,24,1073741859,Người Đàn Bà Hóa Đá,Tâm Hồn Của Đá,http://10.30.65.100:8087/ce97af23a6674f391676/8933776878991917496,http://lorempixel.com/400/200/nightlife/9
9,24,1073741860,Niềm Tin Cho Cát Bụi,Tâm Hồn Của Đá,http://10.30.65.100:8087/dca3bc17b5535c0d0542/7569684549284636877,http://lorempixel.com/400/200/nightlife/10
9,24,1073741861,Đường Đến Vinh Quang,Tâm Hồn Của Đá,http://10.30.65.100:8087/9c57962a9f6e76302f7f/492774516906297059,http://lorempixel.com/400/200/nightlife/1
1,30,1073741862,Linda,Tình Như Lá Bay Xa,http://10.30.65.100:8087/06041fa316e7ffb9a6f6/419663257335311289,http://lorempixel.com/400/200/nightlife/2
9,24,1073741863,Đêm,Vô Hình,http://10.30.65.100:8087/73e10597a4d34d8d14c2/4027501011481064164,http://lorempixel.com/400/200/nightlife/3
9,24,1073741864,Cây Bàng,Vô Hình,http://10.30.65.100:8087/bd48c43e657a8c24d56b/8699665750036675704,http://lorempixel.com/400/200/nightlife/4
1,9,1073741866,Sống Chết Có Nhau,Tình Như Lá Bay Xa,http://10.30.65.100:8087/4c4154e65da2b4fcedb3/6970952417424973638,http://lorempixel.com/400/200/nightlife/5
9,24,1073741867,Bài Ca Sông Hồng,Vô Hình,http://10.30.65.100:8087/68660bd20296ebc8b287/2702833352894619444,http://lorempixel.com/400/200/nightlife/6
9,24,1073741869,Con Số 0,Vô Hình,http://10.30.65.100:8087/f4729e4de5090c575518/8822898934601562283,http://lorempixel.com/400/200/nightlife/7
9,24,1073741871,Mắt Đen,Vô Hình,http://10.30.65.100:8087/03fa614e680a8154d81b/8997609410925816618,http://lorempixel.com/400/200/nightlife/8
1,9,1073741872,Thư Về Em,Tình Như Lá Bay Xa,http://10.30.65.100:8087/b50eaea9a7ed4eb317fc/2197410403124290303,http://lorempixel.com/400/200/nightlife/9
9,24,1073741875,Khám Phá,Vô Hình,http://10.30.65.100:8087/6f6e0ada039eeac0b38f/8993439372071850205,http://lorempixel.com/400/200/nightlife/10
9,24,1073741880,Cha Và Con,Nam Châm,http://10.30.65.100:8087/e3ed84598d1d64433d0c/2889318161317204935,http://lorempixel.com/400/200/nightlife/1
9,24,1073741881,Dấu Vết Nghiệt Ngã,Nam Châm,http://10.30.65.100:8087/faa89c1c95587c062549/3958140359377249011,http://lorempixel.com/400/200/nightlife/2
1,30,1073741882,Tình Xa Cuối Chân Trời,Tình Như Lá Bay Xa,http://10.30.65.100:8087/735769f060b489ead0a5/1616087373001257564,http://lorempixel.com/400/200/nightlife/3
9,24,1073741887,Người Mộng Du,Nam Châm,http://10.30.65.100:8087/5035088101c5e89bb1d4/6540923722982605546,http://lorempixel.com/400/200/nightlife/4
1,30,1073741888,Tình Yêu Xin Quay Trở Lại,Tình Như Lá Bay Xa,http://10.30.65.100:8087/71fe6c59651d8c43d50c/7132430185016053991,http://lorempixel.com/400/200/nightlife/5
1,30,1073741894,Tình Xa,Tình Như Lá Bay Xa,http://10.30.65.100:8087/ec60f0c7f98310dd4992/3762092770264423123,http://lorempixel.com/400/200/nightlife/6
1,30,1073741903,Trống Vắng,Tình Như Lá Bay Xa,http://10.30.65.100:8087/7cb363146a50830eda41/4888501479219285291,http://lorempixel.com/400/200/nightlife/7
1,30,1073741904,Vẫn Nhớ,Tình Như Lá Bay Xa,http://10.30.65.100:8087/62ff7c58751c9c42c50d/355022665915405505,http://lorempixel.com/400/200/nightlife/8
9,24,1073741911,Chuyện Tình Của Thủy Thần,Nam Châm,http://10.30.65.100:8087/f0a4ab10a2544b0a1245/2654680562500376246,http://lorempixel.com/400/200/nightlife/9
9,24,1073741916,Đôi Bàn Tay,Nam Châm,http://10.30.65.100:8087/234c79f870bc99e2c0ad/6013328892659497682,http://lorempixel.com/400/200/nightlife/10
1,9,1073741924,Chỉ Là Xót Xa,Những Ca Khúc Thành Công Nhất,http://10.30.65.100:8087/14ee05490c0de553bc1c/2157300245367486228,http://lorempixel.com/400/200/nightlife/1
1,9,1073741925,Cô Bé Kính Cận,Những Ca Khúc Thành Công Nhất,http://10.30.65.100:8087/276837cf3e8bd7d58e9a/3527268016219561297,http://lorempixel.com/400/200/nightlife/2
1,30,1073741940,Con Tim Đang Cố Quên,Những Ca Khúc Thành Công Nhất,http://10.30.65.100:8087/9e868d2184656d3b3474/4423826101046239253,http://lorempixel.com/400/200/nightlife/3
1,30,1073741944,Mãi Mãi Bên Em,Những Ca Khúc Thành Công Nhất,http://10.30.65.100:8087/bdabaf0ca6484f161659/6775856841495179892,http://lorempixel.com/400/200/nightlife/4
1,9,1073741946,Mắt Nai,Những Ca Khúc Thành Công Nhất,http://10.30.65.100:8087/239436333f77d6298f66/3988053757580241125,http://lorempixel.com/400/200/nightlife/5
